komentar,timestamp,platform,sentimen,clean
"Minusnya gopay, susah menghubungi layanan CS apalagi kita ada kendala .",5 hari yang lalu,youtube,netral,minusnya gopay susah menghubungi layanan cs apalagi kita ada kendala
Cantik☺️,2 bulan yang lalu,youtube,netral,cantik☺️
MANTAP MBK review nya,4 bulan yang lalu,youtube,positif,mantap mbk review nya
Semoga segera bangkrut kau perusahaan tipu tipu gopay,5 bulan yang lalu,youtube,netral,semoga segera bangkrut kau perusahaan tipu tipu gopay
Lebih baik jangan pakai gopay ujung ujungnya hanya tipu tipu tuh aplikasi brengsek,5 bulan yang lalu,youtube,netral,lebih baik jangan pakai gopay ujung ujungnya hanya tipu tipu tuh aplikasi brengsek
Gopay salah satu aplikasi penipu aplikasi terbangsat adalah gopay,5 bulan yang lalu,youtube,negatif,gopay salah satu aplikasi penipu aplikasi terbangsat adalah gopay
Semua ga ada yg baik...jebol duit org apa beda nya dgn maling,7 bulan yang lalu,youtube,netral,semua ga ada yg baikjebol duit org apa beda nya dgn maling
"KlO ak sii nyari k amanany aj, tdk diskon bsar²an & yg bs amnah tnggung jwb & d pecya .",7 bulan yang lalu,youtube,netral,klo ak sii nyari k amanany aj tdk diskon bsar²an yg bs amnah tnggung jwb d pecya
Aq sudah punya aplikasi digital dan rencana mau aq isi 20jt tapi sayang saat ini aq blm punya uang karrna aq seorang duda pengangguran menyedihkan kawan.tapi satu yg aq suka aq melihat hostnya udah bahagia semoga aq bisa dapat pasangan yg cantiknya kayak mbak host ini.dan segera bisa dpt penghasilan yg buuanyak........terima kasih kawan udah membaca koment ku .........😂😂😂😂😂,8 bulan yang lalu (diedit),youtube,netral,aq sudah punya aplikasi digital rencana mau aq isi jt tapi sayang saat aq blm punya uang karrna aq seorang duda pengangguran menyedihkan kawantapi satu yg aq suka aq melihat hostnya udah bahagia semoga aq bisa dapat pasangan yg cantiknya kayak mbak host inidan segera bisa dpt penghasilan yg buuanyakterima kasih kawan udah membaca koment ku 😂😂😂😂😂
"Sy  sudah punya akun  go pay & Dana
OVO pernh daftr  
To sepertinya hangus
Daftar lagu kok dipersulit",9 bulan yang lalu,youtube,netral,sy sudah punya akun go pay dana ovo pernh daftr to sepertinya hangus daftar lagu kok dipersulit
"Bisa engga saya laporkan dana pt.espay, kepolisi karena akun saya di blok dan saldo nya masih ada?",10 bulan yang lalu,youtube,netral,bisa engga laporkan dana ptespay kepolisi akun blok saldo nya masih ada
Gopay,10 bulan yang lalu,youtube,netral,gopay
Penjelasan sangat detail Terima kasih infonya,1 tahun yang lalu,youtube,netral,penjelasan sangat detail terima kasih infonya
🎉good,1 tahun yang lalu,youtube,netral,🎉good
dompet penipu.,1 tahun yang lalu,youtube,netral,dompet penipu
"Apk dana ini harus di selidiki, oleh pihak yang berwajib, sebab byk maling didalamnya",1 tahun yang lalu,youtube,netral,apk dana harus selidiki oleh pihak berwajib sebab byk maling didalamnya
Semua ny terasa miskin bilamana pas perjalanan uang digital semua ada dstu pas mau melakukan pembayaran kouta habis dan hp mati karena habis batre,1 tahun yang lalu,youtube,netral,semua ny terasa miskin bilamana pas perjalanan uang digital semua ada dstu pas mau melakukan pembayaran kouta habis hp mati habis batre
"Adminnya pengguna ovo , penjelasan gopaynya cuma semenit kan tolol",1 tahun yang lalu,youtube,netral,adminnya pengguna ovo penjelasan gopaynya cuma semenit kan tolol
Best Gopay 5 Kelebihan kirim semua Bank free 100x,1 tahun yang lalu,youtube,netral,best gopay kelebihan kirim semua bank free x
Pakai dana ngk mantul .coba lah pakai ovo,1 tahun yang lalu,youtube,positif,pakai dana ngk mantul coba lah pakai ovo
