komentar,timestamp,platform
"Minusnya gopay, susah menghubungi layanan CS apalagi kita ada kendala .",5 hari yang lalu,youtube
Cantik☺️,2 bulan yang lalu,youtube
MANTAP MBK review nya,4 bulan yang lalu,youtube
Semoga segera bangkrut kau perusahaan tipu tipu gopay,5 bulan yang lalu,youtube
Lebih baik jangan pakai gopay ujung ujungnya hanya tipu tipu tuh aplikasi brengsek,5 bulan yang lalu,youtube
Gopay salah satu aplikasi penipu aplikasi terbangsat adalah gopay,5 bulan yang lalu,youtube
Semua ga ada yg baik...jebol duit org apa beda nya dgn maling,7 bulan yang lalu,youtube
"KlO ak sii nyari k amanany aj, tdk diskon bsar²an & yg bs amnah tnggung jwb & d pecya .",7 bulan yang lalu,youtube
Aq sudah punya aplikasi digital dan rencana mau aq isi 20jt tapi sayang saat ini aq blm punya uang karrna aq seorang duda pengangguran menyedihkan kawan.tapi satu yg aq suka aq melihat hostnya udah bahagia semoga aq bisa dapat pasangan yg cantiknya kayak mbak host ini.dan segera bisa dpt penghasilan yg buuanyak........terima kasih kawan udah membaca koment ku .........😂😂😂😂😂,8 bulan yang lalu (diedit),youtube
"Sy  sudah punya akun  go pay & Dana
OVO pernh daftr  
To sepertinya hangus
Daftar lagu kok dipersulit",9 bulan yang lalu,youtube
"Bisa engga saya laporkan dana pt.espay, kepolisi karena akun saya di blok dan saldo nya masih ada?",10 bulan yang lalu,youtube
Gopay,10 bulan yang lalu,youtube
Penjelasan sangat detail Terima kasih infonya,1 tahun yang lalu,youtube
🎉good,1 tahun yang lalu,youtube
dompet penipu.,1 tahun yang lalu,youtube
"Apk dana ini harus di selidiki, oleh pihak yang berwajib, sebab byk maling didalamnya",1 tahun yang lalu,youtube
Semua ny terasa miskin bilamana pas perjalanan uang digital semua ada dstu pas mau melakukan pembayaran kouta habis dan hp mati karena habis batre,1 tahun yang lalu,youtube
"Adminnya pengguna ovo , penjelasan gopaynya cuma semenit kan tolol",1 tahun yang lalu,youtube
Best Gopay 5 Kelebihan kirim semua Bank free 100x,1 tahun yang lalu,youtube
Pakai dana ngk mantul .coba lah pakai ovo,1 tahun yang lalu,youtube
Komentar anda sangat mewakili yang lainnya,4 bulan yang lalu,youtube
Kalau menurut saya LinkAja paling The Best 👍,1 tahun yang lalu,youtube
Pada akhirnya 2025 tinggal Gopay & DANA aja yg bisa diandalkan. 😂,1 tahun yang lalu,youtube
"Sampai sekarang duitku nyangkut di ovo,di persulit syarat upgrade nya",1 tahun yang lalu,youtube
Kalo pake flip aman g,1 tahun yang lalu,youtube
gopay sda kabur....hati hati dompet digital...sya sda alami....reel...gopay sda kabur....jngan ada korban lagi,1 tahun yang lalu,youtube
Keren kereta lokal nya bisa dibeli pake link 😅😅😅,1 tahun yang lalu,youtube
Ewalet paling ga ribet apa sih kalau dana ga aman udh😢,1 tahun yang lalu,youtube
Tanda kiamat. Sudah dekat. Yu hijrah,1 tahun yang lalu,youtube
Dana jika mau deposit sll gagal🤣,1 tahun yang lalu,youtube
"Aku tunggu liat mba,nya di Tv 
Cara berbicaranya bagus banget ga ad Aaa   eeee  anu...
Smuanya lancar,ditambah lagi mba,nya manis dan cantik😊",1 tahun yang lalu,youtube
"Lebih bagus sih pakai dana, yg penting sudah premium, saya pakai dana dari 2018 untuk nyimpan uang, tranfer ke seluruh bank 10x gratis setiap bulannya,",1 tahun yang lalu (diedit),youtube
Terimakasih mbak...!,1 tahun yang lalu,youtube
